t_ms,true_x,true_y,yaw_deg,map_x,map_y,fused_x,fused_y,enc_x,enc_y,enc_w,imu_ok,seg,auto_state,route_complete,front_cm,left_cm,out_vx,out_vy,map_lim,front_lim,left_lim,clearance,odom_err
10350,2.7310,1.7665,0.00,2.5819,1.7707,2.2083,1.4632,2.2088,1.4650,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1492
10360,2.7310,1.7665,0.00,2.5819,1.7756,2.2084,1.4682,2.2088,1.4701,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1494
10370,2.7310,1.7665,0.00,2.5820,1.7807,2.2084,1.4734,2.2088,1.4754,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1497
10380,2.7310,1.7665,0.00,2.5820,1.7860,2.2084,1.4787,2.2088,1.4809,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1502
10390,2.7310,1.7665,0.00,2.5821,1.7915,2.2084,1.4843,2.2088,1.4865,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1510
10400,2.7310,1.7665,0.00,2.5821,1.7972,2.2085,1.4901,2.2088,1.4924,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1520
10410,2.7310,1.7665,0.00,2.5822,1.8031,2.2085,1.4960,2.2088,1.4985,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1532
10420,2.7310,1.7665,0.00,2.5823,1.8092,2.2085,1.5022,2.2088,1.5048,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1548
10430,2.7310,1.7665,0.00,2.5823,1.8155,2.2086,1.5086,2.2088,1.5112,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1566
10440,2.7310,1.7665,0.00,2.5824,1.8220,2.2086,1.5152,2.2088,1.5179,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1587
10450,2.7310,1.7665,0.00,2.5824,1.8287,2.2086,1.5219,2.2088,1.5248,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1611
10460,2.7310,1.7665,0.00,2.5825,1.8356,2.2086,1.5289,2.2088,1.5319,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1638
10470,2.7310,1.7665,0.00,2.5825,1.8427,2.2087,1.5361,2.2088,1.5391,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1669
10480,2.7310,1.7665,0.00,2.5826,1.8500,2.2087,1.5434,2.2088,1.5466,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1703
10490,2.7310,1.7665,0.00,2.5826,1.8575,2.2087,1.5510,2.2088,1.5543,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1741
10500,2.7310,1.7665,0.00,2.5827,1.8653,2.2088,1.5588,2.2088,1.5622,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1782
10510,2.7310,1.7665,0.00,2.5827,1.8732,2.2088,1.5668,2.2088,1.5703,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1826
10520,2.7310,1.7665,0.00,2.5828,1.8813,2.2088,1.5749,2.2088,1.5786,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1874
10530,2.7310,1.7665,0.00,2.5829,1.8896,2.2088,1.5833,2.2088,1.5870,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1926
10540,2.7310,1.7665,0.00,2.5829,1.8981,2.2089,1.5919,2.2088,1.5957,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.1981
10550,2.7310,1.7665,0.00,2.5830,1.9068,2.2089,1.6007,2.2088,1.6046,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.2039
10560,2.7310,1.7665,0.00,2.5830,1.9157,2.2089,1.6096,2.2088,1.6137,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.2101
10570,2.7310,1.7665,0.00,2.5831,1.9248,2.2090,1.6188,2.2088,1.6230,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.2166
10580,2.7310,1.7665,0.00,2.5831,1.9341,2.2090,1.6282,2.2088,1.6325,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.2235
10590,2.7310,1.7665,0.00,2.5832,1.9436,2.2090,1.6378,2.2088,1.6421,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.2307
10600,2.7310,1.7665,0.00,2.5832,1.9533,2.2090,1.6475,2.2088,1.6520,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.2382
10610,2.7310,1.7665,0.00,2.5833,1.9632,2.2091,1.6575,2.2088,1.6621,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.2460
10620,2.7310,1.7665,0.00,2.5833,1.9733,2.2091,1.6677,2.2088,1.6724,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.2541
10630,2.7310,1.7665,0.00,2.5834,1.9836,2.2091,1.6780,2.2088,1.6828,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.2625
10640,2.7310,1.7665,0.00,2.5835,1.9941,2.2092,1.6886,2.2088,1.6935,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.2713
10650,2.7310,1.7665,0.00,2.5835,2.0048,2.2092,1.6994,2.2088,1.7044,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.2803
10660,2.7310,1.7665,0.00,2.5836,2.0157,2.2092,1.7103,2.2088,1.7155,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.2896
10670,2.7310,1.7665,0.00,2.5836,2.0268,2.2092,1.7215,2.2088,1.7267,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.2992
10680,2.7310,1.7665,0.00,2.5837,2.0381,2.2093,1.7329,2.2088,1.7382,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.3090
10690,2.7310,1.7665,0.00,2.5837,2.0496,2.2093,1.7445,2.2088,1.7499,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.3191
10700,2.7310,1.7665,0.00,2.5838,2.0613,2.2093,1.7562,2.2088,1.7618,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.3296
10710,2.7310,1.7665,0.00,2.5838,2.0732,2.2094,1.7681,2.2088,1.7737,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.3402
10720,2.7310,1.7665,0.00,2.5839,2.0851,2.2094,1.7801,2.2088,1.7857,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.3510
